"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Tawaf_Ablation_Model.nlogo"
"ablation_stage0_full_density_sweep"
"07/15/2026 15:33:42:001 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-15","15"
"[run number]","population","base-speed","speed-variation","homogeneous-radius?","avoidance?","density-speed?","sensing-radius","[step]","count turtles","sd-radius","lane-count 0.5 3","overlaps","mean-nn","edge-fraction 0.5","mean-speed"
"2","450","0.8","0.1","true","false","false","3","5","450","3.295626708335816","3","227","0.6037048777540454","0.03777777777777778","0.8502828740653358"
"3","450","0.8","0.1","true","false","false","3","5","450","3.258067441604063","5","241","0.5786287672190304","0.03111111111111111","0.8480931355245563"
"1","450","0.8","0.1","true","false","false","3","5","450","3.3837034926521308","4","235","0.6072545057470615","0.035555555555555556","0.8493513102584987"
"5","450","0.8","0.1","true","false","false","3","5","450","3.251601877113755","3","242","0.5996191560366627","0.04","0.851237935170001"
"4","450","0.8","0.1","true","false","false","3","10","450","3.1325138512429076","6","242","0.5928525959982754","0.02","0.8492451859985704"
"6","1050","0.8","0.1","true","false","false","3","1","1050","3.490122841776689","5","852","0.39296250963107215","0.08476190476190476","0.8511160176141812"
"2","450","0.8","0.1","true","false","false","3","6","450","3.256309802794852","4","247","0.609253467496765","0.03777777777777778","0.8502828740653351"
"1","450","0.8","0.1","true","false","false","3","6","450","3.3447449927849244","3","251","0.6084940091386903","0.03333333333333333","0.8493513102584982"
"5","450","0.8","0.1","true","false","false","3","6","450","3.2193424169416858","3","240","0.5943571013213279","0.03777777777777778","0.85123793517"
"3","450","0.8","0.1","true","false","false","3","6","450","3.2190642956101727","3","264","0.571384761917997","0.028888888888888888","0.8480931355245558"
"4","450","0.8","0.1","true","false","false","3","11","450","3.0950055176294407","5","246","0.5842738916935031","0.02","0.8492451859985691"
"2","450","0.8","0.1","true","false","false","3","7","450","3.2201991982880807","4","246","0.6067785796523298","0.035555555555555556","0.8502828740653359"
"5","450","0.8","0.1","true","false","false","3","7","450","3.1822744988626064","3","239","0.5935613247065638","0.03777777777777778","0.8512379351699999"
"3","450","0.8","0.1","true","false","false","3","7","450","3.183730260180169","2","252","0.5650566961762009","0.02","0.8480931355245566"
"1","450","0.8","0.1","true","false","false","3","7","450","3.3054733491472144","2","247","0.6040884302939664","0.028888888888888888","0.8493513102584977"
"3","450","0.8","0.1","true","false","false","3","8","450","3.144857004674446","3","242","0.5634985108484927","0.017777777777777778","0.8480931355245558"
"4","450","0.8","0.1","true","false","false","3","12","450","3.0548572615286633","3","244","0.5756059013865187","0.017777777777777778","0.8492451859985696"
"3","450","0.8","0.1","true","false","false","3","9","450","3.107364756346902","1","236","0.5710966666073637","0.017777777777777778","0.8480931355245558"
"1","450","0.8","0.1","true","false","false","3","8","450","3.2682650878688184","2","245","0.600208472795979","0.028888888888888888","0.8493513102584983"
"5","450","0.8","0.1","true","false","false","3","8","450","3.1485157998281244","3","220","0.5978060844710323","0.03777777777777778","0.8512379351700008"
"2","450","0.8","0.1","true","false","false","3","8","450","3.1818013147597863","4","230","0.6010827387093137","0.028888888888888888","0.850282874065336"
"6","1050","0.8","0.1","true","false","false","3","2","1050","3.4501787934697674","3","836","0.39560206073915166","0.07904761904761905","0.851116017614182"
"4","450","0.8","0.1","true","false","false","3","13","450","3.017821314484204","3","259","0.5757862566487517","0.017777777777777778","0.8492451859985701"
"5","450","0.8","0.1","true","false","false","3","9","450","3.1149847822792887","2","232","0.5991498299184173","0.035555555555555556","0.85123793517"
"1","450","0.8","0.1","true","false","false","3","9","450","3.2317519249672046","2","240","0.5957471883745343","0.02666666666666667","0.849351310258499"
"3","450","0.8","0.1","true","false","false","3","10","450","3.069535351811678","2","245","0.5787280981844805","0.017777777777777778","0.8480931355245559"
"2","450","0.8","0.1","true","false","false","3","9","450","3.142402382123785","3","233","0.5965020375145184","0.02666666666666667","0.8502828740653356"
"2","450","0.8","0.1","true","false","false","3","10","450","3.103427003257839","4","236","0.5954729855132099","0.02666666666666667","0.8502828740653358"
"5","450","0.8","0.1","true","false","false","3","10","450","3.0809656663774208","4","234","0.5959631170637695","0.035555555555555556","0.8512379351699995"
"4","450","0.8","0.1","true","false","false","3","14","450","2.9820982385781925","4","240","0.575333678467167","0.015555555555555555","0.84924518599857"
"3","450","0.8","0.1","true","false","false","3","11","450","3.032007275408359","4","236","0.5810223994198516","0.017777777777777778","0.8480931355245556"
"1","450","0.8","0.1","true","false","false","3","10","450","3.19387813240013","3","239","0.5861555161107943","0.02666666666666667","0.8493513102584986"
"2","450","0.8","0.1","true","false","false","3","11","450","3.0645070348398264","3","236","0.5951294451322553","0.022222222222222223","0.8502828740653362"
"3","450","0.8","0.1","true","false","false","3","12","450","2.994982817297989","3","237","0.5834044767999133","0.017777777777777778","0.8480931355245566"
"5","450","0.8","0.1","true","false","false","3","11","450","3.046931612886963","5","232","0.5905817758636259","0.035555555555555556","0.851237935170001"
"2","450","0.8","0.1","true","false","false","3","12","450","3.0264510752135063","4","240","0.5932694163409086","0.02","0.8502828740653353"
"1","450","0.8","0.1","true","false","false","3","11","450","3.1556996317684622","1","254","0.5773395342272074","0.024444444444444446","0.8493513102584993"
